Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Default
LP1000,Male,Yes,3,Graduate,Yes,16337,7673,303,120,0,Urban,0
LP1001,Female,No,3,Not Graduate,No,24986,6949,245,240,1,Semiurban,0
LP1002,Male,Yes,2,Not Graduate,Yes,8812,6882,647,300,1,Semiurban,0
LP1003,Male,Yes,0,Not Graduate,Yes,6820,1906,571,180,1,Urban,1
LP1004,Male,No,3,Graduate,No,14716,3086,566,180,1,Semiurban,0
LP1005,Female,Yes,3,Graduate,No,24016,8152,684,360,1,Urban,0
LP1006,Male,No,1,Graduate,No,4279,5750,167,360,0,Urban,0
LP1007,Male,No,3,Not Graduate,Yes,18808,10267,208,180,1,Urban,0
LP1008,Male,No,3,Not Graduate,No,3081,8905,277,360,1,Urban,1
LP1009,Female,Yes,1,Not Graduate,Yes,21208,1062,265,240,1,Semiurban,1
LP1010,Male,Yes,2,Graduate,Yes,14177,1976,64,180,1,Urban,0
LP1011,Male,Yes,3,Not Graduate,Yes,7213,1296,206,360,1,Urban,1
LP1012,Male,Yes,1,Not Graduate,Yes,24910,6229,697,180,1,Semiurban,0
LP1013,Male,Yes,0,Not Graduate,No,18139,7641,310,300,1,Semiurban,1
LP1014,Female,Yes,2,Not Graduate,No,6304,125,206,120,0,Rural,0
LP1015,Male,Yes,0,Graduate,Yes,19722,4632,96,180,1,Semiurban,0
LP1016,Female,No,0,Graduate,Yes,11636,6288,373,120,0,Semiurban,0
LP1017,Female,Yes,1,Not Graduate,Yes,1509,3596,179,360,1,Rural,0
LP1018,Female,No,3,Graduate,No,20755,11475,460,120,1,Semiurban,0
LP1019,Male,Yes,1,Graduate,Yes,6624,6168,144,180,0,Semiurban,0
LP1020,Female,Yes,1,Not Graduate,Yes,2515,9795,676,300,1,Semiurban,0
LP1021,Male,Yes,1,Not Graduate,No,3693,7561,341,360,1,Semiurban,0
LP1022,Female,No,1,Graduate,No,9915,8258,332,180,1,Rural,0
LP1023,Female,No,2,Not Graduate,Yes,15050,232,118,360,1,Semiurban,0
LP1024,Female,No,3,Graduate,No,16012,10348,60,240,0,Semiurban,1
LP1025,Female,No,0,Not Graduate,No,5658,9361,303,120,1,Rural,0
LP1026,Female,Yes,0,Graduate,Yes,21809,10350,599,240,1,Urban,0
LP1027,Female,No,3,Not Graduate,No,8470,6371,183,180,1,Rural,0
LP1028,Female,Yes,0,Graduate,Yes,8438,4206,72,300,0,Urban,1
LP1029,Female,Yes,3,Graduate,No,22668,9685,395,360,1,Rural,0
LP1030,Male,No,0,Graduate,Yes,15272,7943,351,120,1,Rural,0
LP1031,Male,No,1,Not Graduate,Yes,21884,6891,412,360,1,Semiurban,1
LP1032,Female,No,0,Graduate,Yes,19517,6738,445,180,1,Urban,1
LP1033,Female,No,3,Graduate,No,11844,2472,267,360,1,Semiurban,0
LP1034,Female,No,3,Not Graduate,Yes,8766,10852,190,120,1,Urban,0
LP1035,Male,No,3,Not Graduate,No,10202,2739,665,180,0,Rural,0
LP1036,Female,No,3,Graduate,Yes,1884,5401,259,360,1,Rural,1
LP1037,Male,No,3,Graduate,Yes,1904,1761,672,300,1,Urban,0
LP1038,Male,Yes,2,Not Graduate,No,9675,11706,665,180,0,Semiurban,0
LP1039,Male,No,2,Not Graduate,Yes,16658,10167,509,180,1,Semiurban,1
LP1040,Male,No,0,Not Graduate,Yes,14263,10554,405,300,1,Semiurban,0
LP1041,Male,Yes,3,Not Graduate,No,19884,876,373,240,1,Semiurban,0
LP1042,Female,No,0,Not Graduate,Yes,11360,3812,182,120,1,Rural,0
LP1043,Female,Yes,3,Graduate,Yes,7489,11640,176,240,1,Rural,0
LP1044,Female,Yes,3,Not Graduate,Yes,16606,9504,155,360,1,Rural,0
LP1045,Female,No,2,Graduate,Yes,19344,1460,653,300,0,Rural,0
LP1046,Female,Yes,2,Graduate,No,5136,10901,427,240,1,Rural,0
LP1047,Male,Yes,1,Graduate,No,12416,10516,100,180,1,Semiurban,0
LP1048,Female,Yes,2,Not Graduate,Yes,6309,1733,78,360,1,Semiurban,1
LP1049,Female,Yes,1,Graduate,No,22062,1605,511,360,1,Semiurban,0
LP1050,Male,No,1,Graduate,Yes,14956,5622,345,240,1,Semiurban,1
LP1051,Female,Yes,1,Not Graduate,No,16944,6767,346,240,0,Rural,0
LP1052,Male,No,1,Graduate,Yes,24484,10755,456,300,1,Rural,1
LP1053,Female,Yes,1,Graduate,Yes,7497,11613,662,120,1,Rural,1
LP1054,Male,Yes,0,Not Graduate,Yes,3548,6986,454,240,0,Urban,0
LP1055,Female,Yes,2,Graduate,Yes,13838,3517,395,240,1,Semiurban,0
LP1056,Female,Yes,1,Graduate,Yes,22664,10589,671,180,1,Semiurban,1
LP1057,Male,No,3,Graduate,Yes,18600,3735,469,360,1,Rural,0
LP1058,Male,No,2,Not Graduate,No,23449,11062,231,120,1,Semiurban,0
LP1059,Male,Yes,2,Not Graduate,Yes,6044,9352,50,180,1,Semiurban,0
LP1060,Male,Yes,1,Not Graduate,No,6476,8434,616,300,1,Rural,1
LP1061,Male,No,0,Graduate,Yes,14275,2590,420,300,1,Urban,1
LP1062,Male,Yes,1,Graduate,No,11515,1063,480,240,1,Urban,1
LP1063,Male,Yes,0,Not Graduate,No,4919,4324,358,240,1,Urban,0
LP1064,Male,Yes,3,Graduate,No,15930,10787,186,300,1,Rural,1
LP1065,Female,No,2,Graduate,Yes,8739,9111,251,240,1,Semiurban,0
LP1066,Female,No,3,Not Graduate,Yes,15989,5342,485,120,1,Rural,0
LP1067,Male,No,0,Not Graduate,No,18133,5,362,240,1,Rural,0
LP1068,Female,Yes,0,Graduate,Yes,11857,7489,166,360,1,Semiurban,0
LP1069,Female,Yes,3,Graduate,No,18654,8659,624,240,1,Urban,0
LP1070,Female,No,0,Graduate,Yes,5863,8195,293,180,1,Urban,0
LP1071,Female,No,3,Not Graduate,No,11676,5966,586,120,1,Rural,0
LP1072,Male,No,2,Not Graduate,No,18961,8837,651,180,1,Urban,0
LP1073,Female,No,3,Not Graduate,Yes,9927,117,124,180,1,Rural,0
LP1074,Male,Yes,2,Not Graduate,No,10080,11120,435,360,1,Rural,0
LP1075,Female,No,3,Graduate,Yes,6358,2551,259,120,0,Semiurban,0
LP1076,Female,Yes,0,Not Graduate,No,11540,5560,524,120,1,Semiurban,0
LP1077,Female,No,3,Not Graduate,No,24428,4289,467,120,1,Semiurban,0
LP1078,Male,Yes,0,Not Graduate,Yes,22603,846,396,120,0,Rural,0
LP1079,Female,No,3,Not Graduate,Yes,20698,10954,578,120,1,Semiurban,0
LP1080,Male,No,3,Not Graduate,Yes,21258,6316,689,360,0,Urban,0
LP1081,Female,No,1,Graduate,No,16754,6469,228,240,1,Urban,0
LP1082,Male,No,0,Graduate,Yes,12970,9333,231,180,1,Rural,0
LP1083,Female,Yes,1,Not Graduate,No,2752,10002,74,120,0,Rural,1
LP1084,Male,No,0,Graduate,No,8496,8915,229,240,1,Semiurban,0
LP1085,Male,Yes,1,Not Graduate,Yes,13673,224,550,240,1,Rural,0
LP1086,Female,Yes,2,Not Graduate,Yes,6173,4208,210,180,1,Rural,0
LP1087,Male,Yes,3,Graduate,No,22414,6283,226,360,0,Urban,0
LP1088,Female,Yes,0,Graduate,No,17281,2048,334,300,1,Urban,0
LP1089,Female,No,0,Not Graduate,Yes,14551,6233,112,300,1,Semiurban,0
LP1090,Female,Yes,3,Not Graduate,Yes,8381,9765,205,240,1,Rural,0
LP1091,Female,Yes,0,Not Graduate,Yes,8449,1828,518,180,1,Rural,0
LP1092,Female,Yes,0,Graduate,Yes,11021,1917,98,300,1,Urban,0
LP1093,Female,No,1,Not Graduate,Yes,24125,4234,133,240,1,Rural,1
LP1094,Female,No,0,Not Graduate,No,9517,6988,410,360,1,Urban,1
LP1095,Female,No,2,Not Graduate,No,8441,2026,197,300,1,Semiurban,0
